rank,title,singer,album,date,like,week
69,나에게 그대만이,탑현,나에게 그대만이,2024.01.01 ~ 2024.01.07,51302,1
70,Do or Die,임영웅,Do or Die,2024.01.01 ~ 2024.01.07,42008,1
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.01 ~ 2024.01.07,27262,1
72,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.01 ~ 2024.01.07,265314,1
73,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.01 ~ 2024.01.07,122400,1
74,모래 알갱이,임영웅,모래 알갱이,2024.01.01 ~ 2024.01.07,59551,1
75,I Love My Body,화사 (HWASA),I Love My Body,2024.01.01 ~ 2024.01.07,34647,1
76,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.01 ~ 2024.01.07,262546,1
77,다시 만날 수 있을까,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,84919,1
78,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.01 ~ 2024.01.07,561683,1
79,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.01 ~ 2024.01.07,301007,1
80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.01 ~ 2024.01.07,174414,1
81,Butter,방탄소년단,Butter,2024.01.01 ~ 2024.01.07,296560,1
82,무지개,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,74095,1
83,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.01 ~ 2024.01.07,33804,1
84,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2024.01.01 ~ 2024.01.07,171261,1
85,아버지,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,59512,1
86,London Boy,임영웅,Polaroid,2024.01.01 ~ 2024.01.07,60771,1
87,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.01 ~ 2024.01.07,109920,1
88,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.01 ~ 2024.01.07,133841,1
89,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.01 ~ 2024.01.07,283160,1
90,Polaroid,임영웅,Polaroid,2024.01.01 ~ 2024.01.07,54678,1
91,인생찬가,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,54561,1
92,숲,최유리,유영,2024.01.01 ~ 2024.01.07,113635,1
93,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.01 ~ 2024.01.07,59974,1
94,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2024.01.01 ~ 2024.01.07,236570,1
95,어른,Sondia,나의 아저씨 OST Part.2,2024.01.01 ~ 2024.01.07,245724,1
96,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.01 ~ 2024.01.07,31225,1
97,꽃,지수 (JISOO),ME,2024.01.01 ~ 2024.01.07,123493,1
98,A bientot,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,55636,1
99,Yes or No,정국,GOLDEN,2024.01.01 ~ 2024.01.07,38692,1
100,희재,성시경,국화꽃 향기 OST,2024.01.01 ~ 2024.01.07,161660,1
1,비의 랩소디,임재현,비의 랩소디,2024.01.08 ~ 2024.01.14,68851,2
2,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.08 ~ 2024.01.14,114170,2
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.08 ~ 2024.01.14,143853,2
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.08 ~ 2024.01.14,85774,2
5,헤어지자 말해요,박재정,1집 Alone,2024.01.08 ~ 2024.01.14,169684,2
6,인사,범진,인사,2024.01.08 ~ 2024.01.14,107804,2
7,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.08 ~ 2024.01.14,287034,2
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.08 ~ 2024.01.14,98172,2
9,Baddie,IVE (아이브),I'VE MINE,2024.01.08 ~ 2024.01.14,68639,2
10,에피소드,이무진,에피소드,2024.01.08 ~ 2024.01.14,68377,2
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.08 ~ 2024.01.14,208101,2
12,Love Lee,AKMU (악뮤),Love Lee,2024.01.08 ~ 2024.01.14,121177,2
13,I AM,IVE (아이브),I've IVE,2024.01.08 ~ 2024.01.14,213112,2
14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.08 ~ 2024.01.14,69406,2
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.08 ~ 2024.01.14,125260,2
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08 ~ 2024.01.14,162141,2
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.08 ~ 2024.01.14,281577,2
18,Get A Guitar,RIIZE,Get A Guitar,2024.01.08 ~ 2024.01.14,90265,2
19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.08 ~ 2024.01.14,85716,2
20,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.08 ~ 2024.01.14,295856,2
21,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08 ~ 2024.01.14,120568,2
22,Love 119,RIIZE,Love 119,2024.01.08 ~ 2024.01.14,95244,2
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.08 ~ 2024.01.14,79683,2
24,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08 ~ 2024.01.14,287887,2
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.08 ~ 2024.01.14,143711,2
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.08 ~ 2024.01.14,212171,2
27,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.08 ~ 2024.01.14,76387,2
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.08 ~ 2024.01.14,436833,2
29,Standing Next to You,정국,GOLDEN,2024.01.08 ~ 2024.01.14,69114,2
30,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.08 ~ 2024.01.14,206571,2
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.08 ~ 2024.01.14,56090,2
32,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.08 ~ 2024.01.14,58518,2
33,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.08 ~ 2024.01.14,132574,2
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.08 ~ 2024.01.14,322164,2
35,Either Way,IVE (아이브),I'VE MINE,2024.01.08 ~ 2024.01.14,75886,2
36,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.08 ~ 2024.01.14,58679,2
37,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.08 ~ 2024.01.14,37890,2
38,Fast Forward,전소미,GAME PLAN,2024.01.08 ~ 2024.01.14,76078,2
39,OMG,NewJeans,NewJeans 'OMG',2024.01.08 ~ 2024.01.14,200711,2
40,Kitsch,IVE (아이브),I've IVE,2024.01.08 ~ 2024.01.14,157631,2
41,Off The Record,IVE (아이브),I'VE MINE,2024.01.08 ~ 2024.01.14,57425,2
42,취중고백,김민석,취중고백,2024.01.08 ~ 2024.01.14,183394,2
43,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08 ~ 2024.01.14,116723,2
44,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.08 ~ 2024.01.14,53340,2
45,심(心),DK(디셈버),심(心),2024.01.08 ~ 2024.01.14,78680,2
46,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.08 ~ 2024.01.14,249350,2
47,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.08 ~ 2024.01.14,172277,2
48,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.08 ~ 2024.01.14,39647,2
49,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.08 ~ 2024.01.14,89108,2
50,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.08 ~ 2024.01.14,202553,2
51,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.08 ~ 2024.01.14,39807,2
52,물론,허각,물론,2024.01.08 ~ 2024.01.14,56658,2
53,After LIKE,IVE (아이브),After LIKE,2024.01.08 ~ 2024.01.14,241595,2
54,해요 (2022),#안녕,해요 (2022),2024.01.08 ~ 2024.01.14,97891,2
