rank,title,singer,album,date,like
89,STAY,Stay,"The Kid LAROI, Justin Bieber",2024.01.01 ~ 2024.01.07,283122
90,Polaroid,Polaroid,임영웅,2024.01.01 ~ 2024.01.07,54664
91,인생찬가,IM HERO,임영웅,2024.01.01 ~ 2024.01.07,54553
92,숲,유영,최유리,2024.01.01 ~ 2024.01.07,113508
93,3D (feat. Jack Harlow),3D (feat. Jack Harlow),"정국, Jack Harlow",2024.01.01 ~ 2024.01.07,59961
94,All I Want for Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,2024.01.01 ~ 2024.01.07,236578
95,어른,나의 아저씨 OST Part.2,Sondia,2024.01.01 ~ 2024.01.07,245675
96,Merry PLLIstmas,Merry PLLIstmas,PLAVE,2024.01.01 ~ 2024.01.07,31198
97,꽃,ME,지수 (JISOO),2024.01.01 ~ 2024.01.07,123495
98,A bientot,IM HERO,임영웅,2024.01.01 ~ 2024.01.07,55627
99,Yes or No,GOLDEN,정국,2024.01.01 ~ 2024.01.07,38674
100,희재,국화꽃 향기 OST,성시경,2024.01.01 ~ 2024.01.07,161627
1,Ditto,NewJeans 'OMG',NewJeans,2023.01.02 ~ 2023.01.08,281545
2,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',윤하 (YOUNHA),2023.01.02 ~ 2023.01.08,322116
3,OMG,NewJeans 'OMG',NewJeans,2023.01.02 ~ 2023.01.08,200695
4,Hype Boy,NewJeans 1st EP 'New Jeans',NewJeans,2023.01.02 ~ 2023.01.08,287856
5,NOT SORRY (Feat. pH-1) (Prod. by Slom),쇼미더머니 11 Episode 3,이영지,2023.01.02 ~ 2023.01.08,108509
6,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM (르세라핌),2023.01.02 ~ 2023.01.08,171358
7,Candy,Candy - Winter Special Mini Album,NCT DREAM,2023.01.02 ~ 2023.01.08,177554
8,After LIKE,After LIKE,IVE (아이브),2023.01.02 ~ 2023.01.08,241580
9,Attention,NewJeans 1st EP 'New Jeans',NewJeans,2023.01.02 ~ 2023.01.08,239209
10,Nxde,I love,(여자)아이들,2023.01.02 ~ 2023.01.08,163793
11,마이웨이 (MY WAY) (Prod. R.Tee),쇼미더머니 11 Episode 1,"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)",2023.01.02 ~ 2023.01.08,89095
12,새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),지코 (ZICO),2023.01.02 ~ 2023.01.08,149764
13,LOVE DIVE,LOVE DIVE,IVE (아이브),2023.01.02 ~ 2023.01.08,249334
14,Monologue,Monologue,테이,2023.01.02 ~ 2023.01.08,94198
15,너의 모든 순간,별에서 온 그대 OST Part.7,성시경,2023.01.02 ~ 2023.01.08,295794
16,Cookie,NewJeans 1st EP 'New Jeans',NewJeans,2023.01.02 ~ 2023.01.08,144738
17,그대를 알고,그대를 알고,송하예,2023.01.02 ~ 2023.01.08,43273
18,Shut Down,BORN PINK,BLACKPINK,2023.01.02 ~ 2023.01.08,125853
19,사랑은 늘 도망가,신사와 아가씨 OST Part.2,임영웅,2023.01.02 ~ 2023.01.08,212151
20,해요 (2022),해요 (2022),#안녕,2023.01.02 ~ 2023.01.08,97847
21,잘가요,잘가요,주호,2023.01.02 ~ 2023.01.08,43355
22,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),멜로망스,2023.01.02 ~ 2023.01.08,206490
23,Pink Venom,BORN PINK,BLACKPINK,2023.01.02 ~ 2023.01.08,160128
24,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"정국, 방탄소년단",2023.01.02 ~ 2023.01.08,137141
25,Rush Hour (Feat. j-hope of BTS),Rush Hour,Crush,2023.01.02 ~ 2023.01.08,116778
26,TOMBOY,I NEVER DIE,(여자)아이들,2023.01.02 ~ 2023.01.08,243116
27,내가 아니라도,내가 아니라도,주호,2023.01.02 ~ 2023.01.08,109324
28,그때 그 순간 그대로 (그그그),WSG워너비 1집,WSG워너비 (가야G),2023.01.02 ~ 2023.01.08,132563
29,자격지심 (Feat. ZICO),FIVE SENSES,BE'O (비오),2023.01.02 ~ 2023.01.08,93568
30,딱 10CM만,딱 10CM만,"10CM, BIG Naughty (서동현)",2023.01.02 ~ 2023.01.08,118339
31,FEARLESS,FEARLESS,LE SSERAFIM (르세라핌),2023.01.02 ~ 2023.01.08,119119
32,그라데이션,5.3,10CM,2023.01.02 ~ 2023.01.08,167833
33,WHEN I MOVE,MOVE AGAIN,카라,2023.01.02 ~ 2023.01.08,55895
34,정이라고 하자 (Feat. 10CM),정이라고 하자,BIG Naughty (서동현),2023.01.02 ~ 2023.01.08,223024
35,취중고백,취중고백,김민석,2023.01.02 ~ 2023.01.08,183361
36,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",쇼미더머니 11 Semi Final,허성현 (Huh),2023.01.02 ~ 2023.01.08,34744
37,나의 X에게,나의 X에게,경서,2023.01.02 ~ 2023.01.08,151796
38,그 겨울이 잠든 거리에서,그 겨울이 잠든 거리에서 (경서예지 x 전건호),"경서예지, 전건호",2023.01.02 ~ 2023.01.08,21465
39,Say I Love You,Say I Love You (Re : WIND 4MEN Vol.04),우디 (Woody),2023.01.02 ~ 2023.01.08,82262
40,ELEVEN,ELEVEN,IVE (아이브),2023.01.02 ~ 2023.01.08,192133
41,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",쇼미더머니 11 Episode 3,던말릭 (DON MALIK),2023.01.02 ~ 2023.01.08,38154
42,우리들의 블루스,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,104401
43,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),"경서예지, 전건호",2023.01.02 ~ 2023.01.08,188351
44,Snowman,Everyday Is Christmas (Snowman Deluxe Edition),Sia,2023.01.02 ~ 2023.01.08,265302
45,보고싶었어,WSG워너비 1집,WSG워너비(4FIRE),2023.01.02 ~ 2023.01.08,131863
46,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,폴킴,2023.01.02 ~ 2023.01.08,438825
47,That's Hilarious,CHARLIE,Charlie Puth,2023.01.02 ~ 2023.01.08,180315
48,첫사랑,첫사랑,백아,2023.01.02 ~ 2023.01.08,187297
49,떠나보낼 준비해 둘걸 그랬어,떠나보낼 준비해 둘걸 그랬어,임한별,2023.01.02 ~ 2023.01.08,52615
50,I Don't Think That I Like Her,CHARLIE,Charlie Puth,2023.01.02 ~ 2023.01.08,202489
51,LOVE me,LOVE me,BE'O (비오),2023.01.02 ~ 2023.01.08,152906
52,우린 그렇게 사랑해서,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",2023.01.02 ~ 2023.01.08,72016
53,밤하늘의 별을(2020),밤하늘의 별을(2020),경서,2023.01.02 ~ 2023.01.08,230550
54,오르트구름,YOUNHA 6th Album 'END THEORY',윤하 (YOUNHA),2023.01.02 ~ 2023.01.08,122840
55,다시 만날 수 있을까,IM HERO,임영웅,2023.01.02 ~ 2023.01.08,84905
56,내 기쁨은 너가 벤틀리를 끄는 거야,PROTOTYPE RESEARCH #0063,김승민,2023.01.02 ~ 2023.01.08,115342
