rank,title,singer,album,date,like,year,month,day,week,season
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.15,79716,2023,1,15,3,1
24,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15,120579,2023,1,15,3,1
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.15,436857,2023,1,15,3,1
29,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.15,56143,2023,1,15,3,1
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.15,76423,2023,1,15,3,1
31,Standing Next to You,정국,GOLDEN,2024.01.15,69126,2023,1,15,3,1
32,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.15,53388,2023,1,15,3,1
36,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.15,58526,2023,1,15,3,1
37,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.15,39838,2023,1,15,3,1
38,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.15,37937,2023,1,15,3,1
40,Fast Forward,전소미,GAME PLAN,2024.01.15,76086,2023,1,15,3,1
43,Either Way,IVE (아이브),I'VE MINE,2024.01.15,75891,2023,1,15,3,1
48,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.15,89122,2023,1,15,3,1
49,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.15,172300,2023,1,15,3,1
51,I Love You,안세하,I Love You,2024.01.15,19440,2023,1,15,3,1
52,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.15,301222,2023,1,15,3,1
53,Off The Record,IVE (아이브),I'VE MINE,2024.01.15,57439,2023,1,15,3,1
56,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.15,39656,2023,1,15,3,1
62,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.15,57797,2023,1,15,3,1
64,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.15,27279,2023,1,15,3,1
65,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.15,135142,2023,1,15,3,1
69,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.15,262713,2023,1,15,3,1
71,나에게 그대만이,탑현,나에게 그대만이,2024.01.15,51314,2023,1,15,3,1
72,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.15,42790,2023,1,15,3,1
75,모래 알갱이,임영웅,모래 알갱이,2024.01.15,59564,2023,1,15,3,1
76,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.15,46175,2023,1,15,3,1
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.15,34652,2023,1,15,3,1
79,Do or Die,임영웅,Do or Die,2024.01.15,42018,2023,1,15,3,1
83,화이트 (White),폴킴,화이트 (White),2024.01.15,18814,2023,1,15,3,1
85,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,2024.01.15,22422,2023,1,15,3,1
87,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.15,265321,2023,1,15,3,1
91,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.15,33824,2023,1,15,3,1
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.15,245738,2023,1,15,3,1
94,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.15,133867,2023,1,15,3,1
95,숲,최유리,유영,2024.01.15,113667,2023,1,15,3,1
98,Yes or No,정국,GOLDEN,2024.01.15,38696,2023,1,15,3,1
99,Talk Saxy,RIIZE,Talk Saxy,2024.01.15,50088,2023,1,15,3,1
1,비의 랩소디,임재현,비의 랩소디,2024.01.22,68931,2023,1,22,4,1
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.22,143931,2023,1,22,4,1
3,Love wins all,아이유,The Winning,2024.01.22,160797,2023,1,22,4,1
4,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.22,114191,2023,1,22,4,1
5,Drama,aespa,Drama - The 4th Mini Album,2024.01.22,85818,2023,1,22,4,1
6,에피소드,이무진,에피소드,2024.01.22,68436,2023,1,22,4,1
7,Love 119,RIIZE,Love 119,2024.01.22,95314,2023,1,22,4,1
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.22,98248,2023,1,22,4,1
10,인사,범진,인사,2024.01.22,107860,2023,1,22,4,1
11,Baddie,IVE (아이브),I'VE MINE,2024.01.22,68660,2023,1,22,4,1
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.22,208123,2023,1,22,4,1
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.22,121202,2023,1,22,4,1
15,Get A Guitar,RIIZE,Get A Guitar,2024.01.22,90308,2023,1,22,4,1
16,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.22,287040,2023,1,22,4,1
17,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.22,69423,2023,1,22,4,1
19,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.22,125291,2023,1,22,4,1
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.22,85750,2023,1,22,4,1
21,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.22,162158,2023,1,22,4,1
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.22,79716,2023,1,22,4,1
27,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.22,53388,2023,1,22,4,1
28,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.22,120579,2023,1,22,4,1
30,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.22,436857,2023,1,22,4,1
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.22,56143,2023,1,22,4,1
32,Standing Next to You,정국,GOLDEN,2024.01.22,69126,2023,1,22,4,1
33,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.22,76423,2023,1,22,4,1
36,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.22,37937,2023,1,22,4,1
37,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.22,39838,2023,1,22,4,1
39,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.22,301222,2023,1,22,4,1
43,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.22,89122,2023,1,22,4,1
44,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.22,58526,2023,1,22,4,1
45,I Love You,안세하,I Love You,2024.01.22,19440,2023,1,22,4,1
46,Fast Forward,전소미,GAME PLAN,2024.01.22,76086,2023,1,22,4,1
52,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.22,27279,2023,1,22,4,1
54,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.22,172300,2023,1,22,4,1
56,Either Way,IVE (아이브),I'VE MINE,2024.01.22,75891,2023,1,22,4,1
60,기억해줘요 내 모든 날과 그때를,화곡동 청개구리,기억해줘요 내 모든 날과 그때를,2024.01.22,22422,2023,1,22,4,1
61,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.22,39656,2023,1,22,4,1
62,Off The Record,IVE (아이브),I'VE MINE,2024.01.22,57439,2023,1,22,4,1
63,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.22,262713,2023,1,22,4,1
