rank,title,singer,album,date,like,year,month,day,week,season
14,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.04.22,345231,2013,4,22,4,0
87,여수 밤바다,버스커 버스커,버스커 버스커 1집,2013.04.22,158070,2013,4,22,4,0
19,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.04.29,345231,2013,4,29,1,0
25,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.05.06,345231,2013,5,6,2,0
28,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.05.13,345231,2013,5,13,3,0
32,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.05.20,345231,2013,5,20,4,0
44,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2013.05.27,345231,2013,5,27,5,0
100,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2013.12.02,236566,2013,12,2,1,1
67,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.12.02,171261,2013,12,2,1,1
26,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.12.09,171261,2013,12,9,2,1
85,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2013.12.09,180205,2013,12,9,2,1
54,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2013.12.09,236566,2013,12,9,2,1
28,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2013.12.09,287040,2013,12,9,2,1
61,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2013.12.16,180205,2013,12,16,3,1
25,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.12.16,171261,2013,12,16,3,1
42,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2013.12.16,236566,2013,12,16,3,1
56,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2013.12.16,287040,2013,12,16,3,1
29,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2013.12.23,236566,2013,12,23,4,1
63,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2013.12.23,287040,2013,12,23,4,1
27,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.12.23,171261,2013,12,23,4,1
45,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2013.12.23,180205,2013,12,23,4,1
99,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,Real,2013.12.30,180205,2013,12,30,1,1
57,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2013.12.30,171261,2013,12,30,1,1
83,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2013.12.30,287040,2013,12,30,1,1
85,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2014.01.06,171261,2013,1,6,2,1
93,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.02.24,345231,2013,2,24,4,1
21,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.03.03,345231,2014,3,3,1,0
11,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.03.10,345231,2014,3,10,2,0
3,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.03.17,345231,2014,3,17,3,0
6,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.03.24,345231,2014,3,24,4,0
8,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집,2014.03.31,345231,2014,3,31,1,0
