rank,title,singer,album,date,like
51,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.08.02,39838
52,물론,허각,물론,2024.01.08.02,56688
53,After LIKE,IVE (아이브),After LIKE,2024.01.08.02,241599
54,해요 (2022),#안녕,해요 (2022),2024.01.08.02,97912
55,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.08.02,189258
56,주저하는 연인들을 위해,잔나비,전설,2024.01.08.02,416855
57,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.08.02,57797
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.08.02,438895
59,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.08.02,188432
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.08.02,135142
61,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.08.02,43042
62,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.08.02,171550
63,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.08.02,42790
64,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.08.02,301222
65,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08.02,239228
66,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.08.02,209035
67,우리들의 블루스,임영웅,IM HERO,2024.01.08.02,104437
68,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.08.02,463005
69,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08.02,122400
70,나에게 그대만이,탑현,나에게 그대만이,2024.01.08.02,51314
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.08.02,27279
72,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.08.02,46175
73,I Love You,안세하,I Love You,2024.01.08.02,19440
74,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.08.02,262712
75,모래 알갱이,임영웅,모래 알갱이,2024.01.08.02,59564
76,Do or Die,임영웅,Do or Die,2024.01.08.02,42018
77,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.08.02,561706
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.08.02,34652
79,다시 만날 수 있을까,임영웅,IM HERO,2024.01.08.02,84925
80,화이트 (White),폴킴,화이트 (White),2024.01.08.02,18814
81,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.08.02,174425
82,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.08.02,265321
83,Butter,방탄소년단,Butter,2024.01.08.02,296563
84,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.08.02,109937
85,무지개,임영웅,IM HERO,2024.01.08.02,74103
86,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.08.02,33824
87,아버지,임영웅,IM HERO,2024.01.08.02,59517
88,London Boy,임영웅,Polaroid,2024.01.08.02,60778
89,Polaroid,임영웅,Polaroid,2024.01.08.02,54686
90,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.08.02,283178
91,인생찬가,임영웅,IM HERO,2024.01.08.02,54561
92,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.08.02,133867
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.08.02,245738
94,숲,최유리,유영,2024.01.08.02,113667
95,A bientot,임영웅,IM HERO,2024.01.08.02,55639
96,꽃,지수 (JISOO),ME,2024.01.08.02,123506
97,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.08.02,59980
98,Yes or No,정국,GOLDEN,2024.01.08.02,38696
99,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.08.02,31234
100,희재,성시경,국화꽃 향기 OST,2024.01.08.02,161671
1,비의 랩소디,임재현,비의 랩소디,2024.01.15.03,68931
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.15.03,143931
3,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.15.03,114191
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.15.03,85818
5,헤어지자 말해요,박재정,1집 Alone,2024.01.15.03,169714
6,에피소드,이무진,에피소드,2024.01.15.03,68436
7,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.15.03,98248
8,인사,범진,인사,2024.01.15.03,107860
9,Baddie,IVE (아이브),I'VE MINE,2024.01.15.03,68660
10,Love 119,RIIZE,Love 119,2024.01.15.03,95314
11,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.15.03,287040
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.15.03,208123
13,I AM,IVE (아이브),I've IVE,2024.01.15.03,213131
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.15.03,121202
15,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.15.03,69423
16,Get A Guitar,RIIZE,Get A Guitar,2024.01.15.03,90308
17,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.15.03,125291
18,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.15.03,295879
19,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15.03,162158
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.15.03,85750
21,Ditto,NewJeans,NewJeans 'OMG',2024.01.15.03,281588
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.15.03,79716
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.15.03,287894
24,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15.03,120579
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.15.03,143725
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.15.03,212198
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.15.03,436857
