rank,title,singer,album,date,like,week
33,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.01 ~ 2024.01.07,206592,1
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.01 ~ 2024.01.07,322187,1
35,Off The Record,IVE (아이브),I'VE MINE,2024.01.01 ~ 2024.01.07,57439,1
36,Fast Forward,전소미,GAME PLAN,2024.01.01 ~ 2024.01.07,76086,1
37,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.01 ~ 2024.01.07,132589,1
38,OMG,NewJeans,NewJeans 'OMG',2024.01.01 ~ 2024.01.07,200716,1
39,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.01 ~ 2024.01.07,58696,1
40,Kitsch,IVE (아이브),I've IVE,2024.01.01 ~ 2024.01.07,157638,1
41,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.01 ~ 2024.01.07,116721,1
42,취중고백,김민석,취중고백,2024.01.01 ~ 2024.01.07,183412,1
43,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.01 ~ 2024.01.07,39656,1
44,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.01 ~ 2024.01.07,172300,1
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.01 ~ 2024.01.07,249361,1
46,심(心),DK(디셈버),심(心),2024.01.01 ~ 2024.01.07,78700,1
47,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.01 ~ 2024.01.07,89122,1
48,물론,허각,물론,2024.01.01 ~ 2024.01.07,56688,1
49,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.01 ~ 2024.01.07,202590,1
50,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.01 ~ 2024.01.07,42790,1
51,After LIKE,IVE (아이브),After LIKE,2024.01.01 ~ 2024.01.07,241599,1
52,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.01 ~ 2024.01.07,57797,1
53,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.01 ~ 2024.01.07,189258,1
54,주저하는 연인들을 위해,잔나비,전설,2024.01.01 ~ 2024.01.07,416855,1
55,해요 (2022),#안녕,해요 (2022),2024.01.01 ~ 2024.01.07,97912,1
56,화이트 (White),폴킴,화이트 (White),2024.01.01 ~ 2024.01.07,18814,1
57,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.01 ~ 2024.01.07,135142,1
58,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.01 ~ 2024.01.07,188432,1
59,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.01 ~ 2024.01.07,53388,1
60,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.01 ~ 2024.01.07,46175,1
61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.01 ~ 2024.01.07,438895,1
62,우리들의 블루스,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,104437,1
63,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.01 ~ 2024.01.07,239228,1
64,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.01 ~ 2024.01.07,209035,1
65,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.01 ~ 2024.01.07,463005,1
66,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.01 ~ 2024.01.07,171550,1
67,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.01 ~ 2024.01.07,43042,1
68,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.01 ~ 2024.01.07,39838,1
69,나에게 그대만이,탑현,나에게 그대만이,2024.01.01 ~ 2024.01.07,51314,1
70,Do or Die,임영웅,Do or Die,2024.01.01 ~ 2024.01.07,42018,1
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.01 ~ 2024.01.07,27279,1
72,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.01 ~ 2024.01.07,265321,1
73,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.01 ~ 2024.01.07,122400,1
74,모래 알갱이,임영웅,모래 알갱이,2024.01.01 ~ 2024.01.07,59564,1
75,I Love My Body,화사 (HWASA),I Love My Body,2024.01.01 ~ 2024.01.07,34652,1
76,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.01 ~ 2024.01.07,262712,1
77,다시 만날 수 있을까,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,84925,1
78,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.01 ~ 2024.01.07,561706,1
79,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.01 ~ 2024.01.07,301222,1
80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.01 ~ 2024.01.07,174425,1
81,Butter,방탄소년단,Butter,2024.01.01 ~ 2024.01.07,296563,1
82,무지개,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,74103,1
83,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.01 ~ 2024.01.07,33824,1
84,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)",Jelly Christmas 2012 HEART PROJECT,2024.01.01 ~ 2024.01.07,171262,1
85,아버지,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,59517,1
86,London Boy,임영웅,Polaroid,2024.01.01 ~ 2024.01.07,60778,1
87,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.01 ~ 2024.01.07,109937,1
88,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.01 ~ 2024.01.07,133867,1
89,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.01 ~ 2024.01.07,283178,1
90,Polaroid,임영웅,Polaroid,2024.01.01 ~ 2024.01.07,54686,1
91,인생찬가,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,54561,1
92,숲,최유리,유영,2024.01.01 ~ 2024.01.07,113667,1
93,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.01 ~ 2024.01.07,59980,1
94,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),2024.01.01 ~ 2024.01.07,236566,1
95,어른,Sondia,나의 아저씨 OST Part.2,2024.01.01 ~ 2024.01.07,245738,1
96,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.01 ~ 2024.01.07,31234,1
97,꽃,지수 (JISOO),ME,2024.01.01 ~ 2024.01.07,123506,1
98,A bientot,임영웅,IM HERO,2024.01.01 ~ 2024.01.07,55639,1
99,Yes or No,정국,GOLDEN,2024.01.01 ~ 2024.01.07,38696,1
100,희재,성시경,국화꽃 향기 OST,2024.01.01 ~ 2024.01.07,161671,1
1,비의 랩소디,임재현,비의 랩소디,2024.01.08 ~ 2024.01.14,68931,2
2,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.08 ~ 2024.01.14,114191,2
3,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.08 ~ 2024.01.14,143931,2
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.08 ~ 2024.01.14,85818,2
5,헤어지자 말해요,박재정,1집 Alone,2024.01.08 ~ 2024.01.14,169714,2
6,인사,범진,인사,2024.01.08 ~ 2024.01.14,107860,2
7,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.08 ~ 2024.01.14,287040,2
8,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.08 ~ 2024.01.14,98248,2
9,Baddie,IVE (아이브),I'VE MINE,2024.01.08 ~ 2024.01.14,68660,2
10,에피소드,이무진,에피소드,2024.01.08 ~ 2024.01.14,68436,2
11,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.08 ~ 2024.01.14,208123,2
12,Love Lee,AKMU (악뮤),Love Lee,2024.01.08 ~ 2024.01.14,121202,2
13,I AM,IVE (아이브),I've IVE,2024.01.08 ~ 2024.01.14,213131,2
14,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.08 ~ 2024.01.14,69423,2
15,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.08 ~ 2024.01.14,125291,2
16,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08 ~ 2024.01.14,162158,2
17,Ditto,NewJeans,NewJeans 'OMG',2024.01.08 ~ 2024.01.14,281588,2
18,Get A Guitar,RIIZE,Get A Guitar,2024.01.08 ~ 2024.01.14,90308,2
19,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.08 ~ 2024.01.14,85750,2
20,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.08 ~ 2024.01.14,295879,2
21,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.08 ~ 2024.01.14,120579,2
22,Love 119,RIIZE,Love 119,2024.01.08 ~ 2024.01.14,95314,2
23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.08 ~ 2024.01.14,79716,2
24,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08 ~ 2024.01.14,287894,2
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.08 ~ 2024.01.14,143725,2
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.08 ~ 2024.01.14,212198,2
27,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.08 ~ 2024.01.14,76423,2
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.08 ~ 2024.01.14,436857,2
29,Standing Next to You,정국,GOLDEN,2024.01.08 ~ 2024.01.14,69126,2
30,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.08 ~ 2024.01.14,206592,2
31,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.08 ~ 2024.01.14,56143,2
32,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.08 ~ 2024.01.14,58526,2
33,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.08 ~ 2024.01.14,132589,2
34,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.08 ~ 2024.01.14,322187,2
35,Either Way,IVE (아이브),I'VE MINE,2024.01.08 ~ 2024.01.14,75891,2
36,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.08 ~ 2024.01.14,58696,2
37,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.08 ~ 2024.01.14,37937,2
38,Fast Forward,전소미,GAME PLAN,2024.01.08 ~ 2024.01.14,76086,2
39,OMG,NewJeans,NewJeans 'OMG',2024.01.08 ~ 2024.01.14,200716,2
40,Kitsch,IVE (아이브),I've IVE,2024.01.08 ~ 2024.01.14,157638,2
41,Off The Record,IVE (아이브),I'VE MINE,2024.01.08 ~ 2024.01.14,57439,2
42,취중고백,김민석,취중고백,2024.01.08 ~ 2024.01.14,183412,2
43,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08 ~ 2024.01.14,116721,2
44,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.08 ~ 2024.01.14,53388,2
45,심(心),DK(디셈버),심(心),2024.01.08 ~ 2024.01.14,78700,2
46,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.08 ~ 2024.01.14,249361,2
47,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.08 ~ 2024.01.14,172300,2
48,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.08 ~ 2024.01.14,39656,2
49,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.08 ~ 2024.01.14,89122,2
50,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.08 ~ 2024.01.14,202590,2
51,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.08 ~ 2024.01.14,39838,2
52,물론,허각,물론,2024.01.08 ~ 2024.01.14,56688,2
53,After LIKE,IVE (아이브),After LIKE,2024.01.08 ~ 2024.01.14,241599,2
54,해요 (2022),#안녕,해요 (2022),2024.01.08 ~ 2024.01.14,97912,2
55,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND',2024.01.08 ~ 2024.01.14,189258,2
56,주저하는 연인들을 위해,잔나비,전설,2024.01.08 ~ 2024.01.14,416855,2
57,Bubble,STAYC(스테이씨),TEENFRESH,2024.01.08 ~ 2024.01.14,57797,2
58,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.08 ~ 2024.01.14,438895,2
59,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.08 ~ 2024.01.14,188432,2
60,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.08 ~ 2024.01.14,135142,2
61,사랑..그게 뭔데,지아,사랑..그게 뭔데,2024.01.08 ~ 2024.01.14,43042,2
62,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML',2024.01.08 ~ 2024.01.14,171550,2
63,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.01.08 ~ 2024.01.14,42790,2
64,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.08 ~ 2024.01.14,301222,2
65,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.08 ~ 2024.01.14,239228,2
66,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition),2024.01.08 ~ 2024.01.14,209035,2
67,우리들의 블루스,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,104437,2
68,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.08 ~ 2024.01.14,463005,2
69,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.08 ~ 2024.01.14,122400,2
70,나에게 그대만이,탑현,나에게 그대만이,2024.01.08 ~ 2024.01.14,51314,2
71,"그대가 있는 곳, 언제 어디든",로이킴,로이킴 X 마이데몬,2024.01.08 ~ 2024.01.14,27279,2
72,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.01.08 ~ 2024.01.14,46175,2
73,I Love You,안세하,I Love You,2024.01.08 ~ 2024.01.14,19440,2
74,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2024.01.08 ~ 2024.01.14,262712,2
75,모래 알갱이,임영웅,모래 알갱이,2024.01.08 ~ 2024.01.14,59564,2
76,Do or Die,임영웅,Do or Die,2024.01.08 ~ 2024.01.14,42018,2
77,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.08 ~ 2024.01.14,561706,2
78,I Love My Body,화사 (HWASA),I Love My Body,2024.01.08 ~ 2024.01.14,34652,2
79,다시 만날 수 있을까,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,84925,2
80,화이트 (White),폴킴,화이트 (White),2024.01.08 ~ 2024.01.14,18814,2
81,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.08 ~ 2024.01.14,174425,2
82,Snowman,Sia,Everyday Is Christmas (Snowman Deluxe Edition),2024.01.08 ~ 2024.01.14,265321,2
83,Butter,방탄소년단,Butter,2024.01.08 ~ 2024.01.14,296563,2
84,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom],2024.01.08 ~ 2024.01.14,109937,2
85,무지개,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,74103,2
86,"밤, 바다",최유리,여행: 플리(playlist) OST Part.2,2024.01.08 ~ 2024.01.14,33824,2
87,아버지,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,59517,2
88,London Boy,임영웅,Polaroid,2024.01.08 ~ 2024.01.14,60778,2
89,Polaroid,임영웅,Polaroid,2024.01.08 ~ 2024.01.14,54686,2
90,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.08 ~ 2024.01.14,283178,2
91,인생찬가,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,54561,2
92,Summer (Feat. BE’O (비오)),Paul Blanco,Summer,2024.01.08 ~ 2024.01.14,133867,2
93,어른,Sondia,나의 아저씨 OST Part.2,2024.01.08 ~ 2024.01.14,245738,2
94,숲,최유리,유영,2024.01.08 ~ 2024.01.14,113667,2
95,A bientot,임영웅,IM HERO,2024.01.08 ~ 2024.01.14,55639,2
96,꽃,지수 (JISOO),ME,2024.01.08 ~ 2024.01.14,123506,2
97,3D (feat. Jack Harlow),"정국, Jack Harlow",3D (feat. Jack Harlow),2024.01.08 ~ 2024.01.14,59980,2
98,Yes or No,정국,GOLDEN,2024.01.08 ~ 2024.01.14,38696,2
99,Merry PLLIstmas,PLAVE,Merry PLLIstmas,2024.01.08 ~ 2024.01.14,31234,2
100,희재,성시경,국화꽃 향기 OST,2024.01.08 ~ 2024.01.14,161671,2
1,비의 랩소디,임재현,비의 랩소디,2024.01.15 ~ 2024.01.21,68931,3
2,To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2024.01.15 ~ 2024.01.21,143931,3
3,Perfect Night,LE SSERAFIM (르세라핌),Perfect Night,2024.01.15 ~ 2024.01.21,114191,3
4,Drama,aespa,Drama - The 4th Mini Album,2024.01.15 ~ 2024.01.21,85818,3
5,헤어지자 말해요,박재정,1집 Alone,2024.01.15 ~ 2024.01.21,169714,3
6,에피소드,이무진,에피소드,2024.01.15 ~ 2024.01.21,68436,3
7,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2024.01.15 ~ 2024.01.21,98248,3
8,인사,범진,인사,2024.01.15 ~ 2024.01.21,107860,3
9,Baddie,IVE (아이브),I'VE MINE,2024.01.15 ~ 2024.01.21,68660,3
10,Love 119,RIIZE,Love 119,2024.01.15 ~ 2024.01.21,95314,3
11,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.15 ~ 2024.01.21,287040,3
12,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2024.01.15 ~ 2024.01.21,208123,3
13,I AM,IVE (아이브),I've IVE,2024.01.15 ~ 2024.01.21,213131,3
14,Love Lee,AKMU (악뮤),Love Lee,2024.01.15 ~ 2024.01.21,121202,3
15,You & Me,제니 (JENNIE),JENNIE Special Single [You & Me],2024.01.15 ~ 2024.01.21,69423,3
16,Get A Guitar,RIIZE,Get A Guitar,2024.01.15 ~ 2024.01.21,90308,3
17,후라이의 꿈,AKMU (악뮤),Love Lee,2024.01.15 ~ 2024.01.21,125291,3
18,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.01.15 ~ 2024.01.21,295879,3
19,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15 ~ 2024.01.21,162158,3
20,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,2024.01.15 ~ 2024.01.21,85750,3
21,Ditto,NewJeans,NewJeans 'OMG',2024.01.15 ~ 2024.01.21,281588,3
22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",2024.01.15 ~ 2024.01.21,79716,3
23,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.15 ~ 2024.01.21,287894,3
24,ETA,NewJeans,NewJeans 2nd EP 'Get Up',2024.01.15 ~ 2024.01.21,120579,3
25,퀸카 (Queencard),(여자)아이들,I feel,2024.01.15 ~ 2024.01.21,143725,3
26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.15 ~ 2024.01.21,212198,3
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.15 ~ 2024.01.21,436857,3
28,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.15 ~ 2024.01.21,206592,3
29,Discord,QWER,1st Single Album 'Harmony from Discord',2024.01.15 ~ 2024.01.21,56143,3
30,별 떨어진다 (I Do),디오 (D.O.),기대 - The 2nd Mini Album,2024.01.15 ~ 2024.01.21,76423,3
31,Standing Next to You,정국,GOLDEN,2024.01.15 ~ 2024.01.21,69126,3
32,MANIAC,VIVIZ (비비지),The 4th Mini Album 'VERSUS',2024.01.15 ~ 2024.01.21,53388,3
33,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.15 ~ 2024.01.21,322187,3
34,Spicy,aespa,MY WORLD - The 3rd Mini Album,2024.01.15 ~ 2024.01.21,132588,3
35,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,2024.01.15 ~ 2024.01.21,58696,3
36,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오, 이영지",스트릿 우먼 파이터2(SWF2) 계급미션,2024.01.15 ~ 2024.01.21,58526,3
37,그대가 내 안에 박혔다(그내박),순순희(기태),그대가 내 안에 박혔다(그내박),2024.01.15 ~ 2024.01.21,39838,3
38,사랑할 수밖에,볼빨간사춘기,Merry Go Round,2024.01.15 ~ 2024.01.21,37937,3
39,Kitsch,IVE (아이브),I've IVE,2024.01.15 ~ 2024.01.21,157638,3
40,Fast Forward,전소미,GAME PLAN,2024.01.15 ~ 2024.01.21,76086,3
41,취중고백,김민석,취중고백,2024.01.15 ~ 2024.01.21,183412,3
42,심(心),DK(디셈버),심(心),2024.01.15 ~ 2024.01.21,78700,3
43,Either Way,IVE (아이브),I'VE MINE,2024.01.15 ~ 2024.01.21,75891,3
44,OMG,NewJeans,NewJeans 'OMG',2024.01.15 ~ 2024.01.21,200716,3
45,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.15 ~ 2024.01.21,249361,3
46,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN,2024.01.15 ~ 2024.01.21,116721,3
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.15 ~ 2024.01.21,202590,3
48,음악의 신,세븐틴 (SEVENTEEN),SEVENTEEN 11th Mini Album ‘SEVENTEENTH HEAVEN',2024.01.15 ~ 2024.01.21,89122,3
49,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),2024.01.15 ~ 2024.01.21,172300,3
50,물론,허각,물론,2024.01.15 ~ 2024.01.21,56688,3
51,I Love You,안세하,I Love You,2024.01.15 ~ 2024.01.21,19440,3
52,예뻤어,DAY6 (데이식스),Every DAY6 February,2024.01.15 ~ 2024.01.21,301222,3
53,Off The Record,IVE (아이브),I'VE MINE,2024.01.15 ~ 2024.01.21,57439,3
54,해요 (2022),#안녕,해요 (2022),2024.01.15 ~ 2024.01.21,97912,3
55,주저하는 연인들을 위해,잔나비,전설,2024.01.15 ~ 2024.01.21,416855,3
56,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.01.15 ~ 2024.01.21,39656,3
