rank,title,singer,album,date,like
20,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.01.29.01,287040
25,Ditto,NewJeans,NewJeans 'OMG',2024.01.29.01,281588
27,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.01.29.01,212198
28,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.29.01,287894
31,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.01.29.01,206592
33,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.01.29.01,436857
35,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.01.29.01,322187
44,취중고백,김민석,취중고백,2024.01.29.01,183412
47,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.01.29.01,202590
49,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.01.29.01,249361
52,해요 (2022),#안녕,해요 (2022),2024.01.29.01,97912
60,주저하는 연인들을 위해,잔나비,전설,2024.01.29.01,416855
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.01.29.01,438895
63,After LIKE,IVE (아이브),After LIKE,2024.01.29.01,241598
65,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.01.29.01,188432
69,우리들의 블루스,임영웅,IM HERO,2024.01.29.01,104437
75,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.01.29.01,239228
76,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.01.29.01,463005
78,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.01.29.01,135142
79,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.01.29.01,561706
81,다시 만날 수 있을까,임영웅,IM HERO,2024.01.29.01,84925
84,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.01.29.01,174425
88,Butter,방탄소년단,Butter,2024.01.29.01,296563
91,무지개,임영웅,IM HERO,2024.01.29.01,74103
92,아버지,임영웅,IM HERO,2024.01.29.01,59517
93,London Boy,임영웅,Polaroid,2024.01.29.01,60778
94,Polaroid,임영웅,Polaroid,2024.01.29.01,54686
95,인생찬가,임영웅,IM HERO,2024.01.29.01,54561
96,A bientot,임영웅,IM HERO,2024.01.29.01,55639
97,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.01.29.01,283178
21,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.02.05.02,295879
28,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.05.02,287894
29,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.02.05.02,212198
30,Ditto,NewJeans,NewJeans 'OMG',2024.02.05.02,281588
31,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.02.05.02,287040
34,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.02.05.02,206592
35,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.02.05.02,322187
36,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.02.05.02,436857
46,취중고백,김민석,취중고백,2024.02.05.02,183412
48,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.02.05.02,249361
49,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.02.05.02,202590
52,해요 (2022),#안녕,해요 (2022),2024.02.05.02,97912
53,주저하는 연인들을 위해,잔나비,전설,2024.02.05.02,416855
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.02.05.02,438895
63,After LIKE,IVE (아이브),After LIKE,2024.02.05.02,241598
65,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.02.05.02,188432
68,우리들의 블루스,임영웅,IM HERO,2024.02.05.02,104437
74,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.05.02,239228
76,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.02.05.02,463005
77,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.05.02,135142
80,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.02.05.02,561706
83,다시 만날 수 있을까,임영웅,IM HERO,2024.02.05.02,84925
84,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.02.05.02,174425
89,Butter,방탄소년단,Butter,2024.02.05.02,296563
90,무지개,임영웅,IM HERO,2024.02.05.02,74103
92,London Boy,임영웅,Polaroid,2024.02.05.02,60778
93,아버지,임영웅,IM HERO,2024.02.05.02,59517
94,Polaroid,임영웅,Polaroid,2024.02.05.02,54686
95,인생찬가,임영웅,IM HERO,2024.02.05.02,54561
97,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.02.05.02,283178
99,A bientot,임영웅,IM HERO,2024.02.05.02,55639
22,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.02.12.03,295879
27,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.12.03,287894
31,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.02.12.03,212198
32,Ditto,NewJeans,NewJeans 'OMG',2024.02.12.03,281588
34,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.02.12.03,206592
36,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',2024.02.12.03,322187
37,첫 눈,EXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',2024.02.12.03,287040
38,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,2024.02.12.03,436857
45,취중고백,김민석,취중고백,2024.02.12.03,183412
48,LOVE DIVE,IVE (아이브),LOVE DIVE,2024.02.12.03,249361
50,I Don't Think That I Like Her,Charlie Puth,CHARLIE,2024.02.12.03,202590
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2024.02.12.03,438895
53,해요 (2022),#안녕,해요 (2022),2024.02.12.03,97912
56,주저하는 연인들을 위해,잔나비,전설,2024.02.12.03,416855
60,After LIKE,IVE (아이브),After LIKE,2024.02.12.03,241598
62,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2024.02.12.03,188432
71,우리들의 블루스,임영웅,IM HERO,2024.02.12.03,104437
74,Attention,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.12.03,239228
75,Dynamite,방탄소년단,Dynamite (DayTime Version),2024.02.12.03,463005
80,봄날,방탄소년단,YOU NEVER WALK ALONE,2024.02.12.03,561706
81,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.12.03,135142
84,다시 만날 수 있을까,임영웅,IM HERO,2024.02.12.03,84925
86,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2024.02.12.03,174425
89,Butter,방탄소년단,Butter,2024.02.12.03,296563
90,무지개,임영웅,IM HERO,2024.02.12.03,74103
92,London Boy,임영웅,Polaroid,2024.02.12.03,60778
93,아버지,임영웅,IM HERO,2024.02.12.03,59517
94,Polaroid,임영웅,Polaroid,2024.02.12.03,54686
98,인생찬가,임영웅,IM HERO,2024.02.12.03,54561
99,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.02.12.03,283178
100,A bientot,임영웅,IM HERO,2024.02.12.03,55639
23,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,2024.02.19.04,295879
31,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2024.02.19.04,212198
32,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2024.02.19.04,287894
36,Ditto,NewJeans,NewJeans 'OMG',2024.02.19.04,281588
38,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),2024.02.19.04,206592
