rank,title,singer,album,date,like,year,month,day,week,season
87,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.02.05.02,46175,2024,2,5,2,1
88,Talk Saxy,RIIZE,Talk Saxy,2024.02.05.02,50088,2024,2,5,2,1
91,I Love My Body,화사 (HWASA),I Love My Body,2024.02.05.02,34652,2024,2,5,2,1
96,하루,에일리(Ailee),하루,2024.02.05.02,12439,2024,2,5,2,1
97,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.02.05.02,283178,2024,2,5,2,1
98,숲,최유리,유영,2024.02.05.02,113667,2024,2,5,2,1
99,A bientot,임영웅,IM HERO,2024.02.05.02,55639,2024,2,5,2,1
100,희재,성시경,국화꽃 향기 OST,2024.02.05.02,161671,2024,2,5,2,1
81,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.12.03,135142,2024,2,12,3,1
83,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.02.12.03,39656,2024,2,12,3,1
85,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.02.12.03,42790,2024,2,12,3,1
87,Talk Saxy,RIIZE,Talk Saxy,2024.02.12.03,50088,2024,2,12,3,1
91,GODS,"NewJeans, League of Legends",2023 리그 오브 레전드 월드 챔피언십 주제곡,2024.02.12.03,46175,2024,2,12,3,1
95,I Love My Body,화사 (HWASA),I Love My Body,2024.02.12.03,34652,2024,2,12,3,1
96,숲,최유리,유영,2024.02.12.03,113667,2024,2,12,3,1
97,하루,에일리(Ailee),하루,2024.02.12.03,12439,2024,2,12,3,1
99,STAY,"The Kid LAROI, Justin Bieber",Stay,2024.02.12.03,283178,2024,2,12,3,1
100,A bientot,임영웅,IM HERO,2024.02.12.03,55639,2024,2,12,3,1
86,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.19.04,135142,2024,2,19,4,1
91,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.02.19.04,39656,2024,2,19,4,1
95,Talk Saxy,RIIZE,Talk Saxy,2024.02.19.04,50088,2024,2,19,4,1
98,Chill Kill,Red Velvet (레드벨벳),Chill Kill - The 3rd Album,2024.02.19.04,42790,2024,2,19,4,1
97,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈),2024.02.26.05,135142,2024,2,26,5,1
98,잠시라도 우리,"성시경, 나얼",잠시라도 우리,2024.02.26.05,39656,2024,2,26,5,1
58,Smart,LE SSERAFIM (르세라핌),EASY,2024.03.04.01,40957,2024,3,4,1,0
95,봄이 와도,로이킴,봄이 와도,2024.03.04.01,21319,2024,3,4,1,0
17,Smart,LE SSERAFIM (르세라핌),EASY,2024.03.11.02,40957,2024,3,11,2,0
87,봄이 와도,로이킴,봄이 와도,2024.03.11.02,21319,2024,3,11,2,0
94,Watch Me Woo!,PLAVE,ASTERUM : 134-1,2024.03.11.02,26705,2024,3,11,2,0
96,우리 영화,PLAVE,ASTERUM : 134-1,2024.03.11.02,27216,2024,3,11,2,0
100,From,PLAVE,ASTERUM : 134-1,2024.03.11.02,25392,2024,3,11,2,0
11,Smart,LE SSERAFIM (르세라핌),EASY,2024.03.18.03,40957,2024,3,18,3,0
50,Welcome to the Show,DAY6 (데이식스),Fourever,2024.03.18.03,38499,2024,3,18,3,0
84,봄이 와도,로이킴,봄이 와도,2024.03.18.03,21319,2024,3,18,3,0
92,우리 영화,PLAVE,ASTERUM : 134-1,2024.03.18.03,27216,2024,3,18,3,0
94,Watch Me Woo!,PLAVE,ASTERUM : 134-1,2024.03.18.03,26705,2024,3,18,3,0
96,From,PLAVE,ASTERUM : 134-1,2024.03.18.03,25392,2024,3,18,3,0
9,Smart,LE SSERAFIM (르세라핌),EASY,2024.03.25.04,40957,2024,3,25,4,0
27,Magnetic,아일릿(ILLIT),SUPER REAL ME,2024.03.25.04,76990,2024,3,25,4,0
40,Welcome to the Show,DAY6 (데이식스),Fourever,2024.03.25.04,38499,2024,3,25,4,0
70,Smoothie,NCT DREAM,DREAM( )SCAPE,2024.03.25.04,36917,2024,3,25,4,0
79,봄이 와도,로이킴,봄이 와도,2024.03.25.04,21319,2024,3,25,4,0
87,너의 편이 돼 줄게,다비치,너의 편이 돼 줄게,2024.03.25.04,9285,2024,3,25,4,0
95,우리 영화,PLAVE,ASTERUM : 134-1,2024.03.25.04,27216,2024,3,25,4,0
